BMQDV;yCeTE 2;biGQs 4
shahnal;"Ini adalah alasan utama untuk mengunjungi Yogyakarta. Situs bersejarah ini adalah daya tarik. Jika Anda benar-benar tertarik dengan sejarah di belakang monumen ini menarik, Anda dapat dengan mudah menyewa pemandu wisata. Kami melakukan ini pada kita sendiri. Ketika kami tinggal di Manohara yang ada di dalam kompleks Candi (maka biaya masuk tidak diperlukan), kami mengunjungi kuil beberapa kali selama kami 2-malam-tinggal. Ini termasuk pagi sunrise tour, yang kami menemukan tidak begitu spektakuler. Pemandangan matahari terbit itu tidak layak jumlah kita dibayar. Kami tidak pernah bosan karena hal-hal baru yang kami menemukan setiap kali.Lega dan buddha patung-patung menakjubkan. Ada begitu banyak kesempatan foto. Pemandangan dari tingkat atas sangat indah. Di pintu masuk/keluar, ada banyak warga lokal yang mencoba untuk menjual souvenir; dari t-shirt untuk patung miniatur kuil/buddha; dan banyak lagi. Jika Anda tertarik di dalamnya, tawar-menawar harga yang ditawarkan awalnya dapat sangat tinggi. Pada akhirnya, mereka mungkin akan lebih murah daripada yang dari kota Malioboro.Ada banyak tangga untuk memanjat tetapi mereka cukup mudah dikelola. Pastikan Anda membawa banyak air, topi dan kacamata hitam sebagai panas dapat benar-benar kuat.Ketika kami mengunjungi Maret 2011, tingkat atas ditutup untuk renovasi bekerja. Jadi, periksa jika mereka dibuka seperti yang kita tidak terjawab melihat Buddha dalam stupa dekat.";Ditulis pada 23 Februari 2019
SAMRUDDIN;Lebih canntik n bersih...Sebuah mahakarya yang hanya ada di indonesia..Bangunan yang sangat menakjubkan;Ditulis pada 14 Februari 2019
intan mora;Sudah beberapa kali ke sini tapi tak pernah bisa mengelilingi seluruhnya. Lokasinya sangat luas. Banyak sudut-sudut cantik untuk berfoto. Butuh tenaga untuk bisa mengelilingi candi ini. apalagi kalo mau melihat dari atas, harus menaiki banyak anak tangga.;Ditulis pada 13 Februari 2019
Diba D;Bila Anda berencana pergi ke Borobudur, jangan lupa membawa payung atau topi. Disana juga disediakan kursi roda gratis buat orang tua. Cukup dengan memberikan kartu ID card. Karena jalanan menanjak, kita bisa meminta bantuan dengan orang-orang sekitaran - tentunya dengan membayar kepada mereka jasa mendorong kursi roda.Untuk tiket seharga Rp 40,000 per orang untuk wisatawan lokal. Kita juga bisa membeli tiket terusan seperti tiket terusan Borobudur - Prambanan atau Borobudur - Ratu Boko.Saya sudah beberapa kali pergi ke Borobudur, dan tidak pernah bosan dengan keindahan dari candi ini.;Ditulis pada 5 Februari 2019
Yona Agung HP;Candi Borobudur adalah salah satu dari 7 keajaiban dunia. Lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas;Ditulis pada 4 Februari 2019
Agnesia Margaretha;Baru kali ini ke Borobudur naik sampe puncaknya sendirian. Seru sih dan menyenangkan, salah satu candi terindah dan termegah yg ku tau. Walaupun waktu itu gerimis2 cantik gitu tapi gak menyurutkan aku utk naik sampai puncak.At least, aku puas dan takjub bgt liat Borobudur sampai puncaknya, meskipun katanya skg puncaknya itu sudah agak menurun posisi dataran tanahnya krn efek gempa berkali2 disana. But, it’s fun experience!!;Ditulis pada 26 Januari 2019
Ariola J;Tempatnya bagus dan memukau. Memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun itu semua tidak berarti setelah kita melihat tempatnya. Ada juga beberapa permainan di sekitarnya seperti airboard atau sekedar berfoto menggunakan busana Jawa.;Ditulis pada 16 Januari 2019
Cank Rief;Sebuah obyek wisata selalu memiliki daya tarik yang membuat wisatawan selalu merindukan untuk kembali menikmatinya. Begitu juga komplek Candi Borobudur, juga memiliki sejuta daya tarik yang membuat anda akan mengaguminya;Ditulis pada 15 Januari 2019
Adjie;Borobudur saat ini beda dengan Borobudur jaman dahulu, saat ini Borobudur sungguh disiplin untuk para pengunjungnya;Ditulis pada 15 Januari 2019
Ekosub77;Candi budha terbesar di Asia. Berdiri tegak di atas bukit merupakan karya agung dari zaman dahulu. Dikunjunginya banyak wisatawan suasananya sangat ramai. Dengan ukuran 123 x123 m berdiri sangat kokoh.;Ditulis pada 8 Januari 2019
;;
Ayu Harry Sundariyati;Candi borobudur tidak boleh dilewatkan jika sedang berlibur ke jawa tengah. Candi borobudur terletak dimagelang jawa tengah bukan yogyakarta. Candi borobudur sangat cantik.;Ditulis pada 3 Januari 2019
mirihama;Saya pernah ke Candi Borobudur saat hari terik, suatu ketika saya ke sana pada saat cuaca mendung. Dan tepat ketika tiba di paling atas, hujan turun. Meskipun sedang hujan atau mendung, Candi Borobudur tetap bisa ternikmati. Untungnya saya bawa jas hujan, hanya saja perlu kehati-hatian saat turun karena kemungkinan ada anak tangga yang berlumut dan mengakibatkan licin, meskipun dalam jangka waktu tertentu tempat ini rutin dibersihkan dari lumut. Sebaiknya perjalanan mendaki dinikmati perlahan agar capainya tidak terasa. Jangan lupa untuk berbekal minum dengan botol minum sendiri dan tidak menyampah di sana! Selain wisata candi, ada pula museum dan pasar cenderamata.;Ditulis pada 29 Desember 2018
Guide819214;Gak afdol klo ke jogja gak mampir ke candi Borobudur padahal cukup menguras energi tp seru klo bareng2 keluarga, makan di lesehan sekitar souvenir untuk melepas lelah. Sedikit panas tapi seimbang dengan harganya.;Ditulis pada 27 Desember 2018
Imam Ahmad;Sudah tak terhitung berapa kali saya ke sini. Tempat nya tambah bagus.. fasilitas memadai, toko oleh-oleh tersedia. Saran, kalau mau ke sini pagi pagi yaa..;Ditulis pada 27 Desember 2018
Syam.Arfn;"Gagal menikmati Sunrise di Borobudur tak menyurutkan niatku untuk masuk kawasan candi dan menikmati ornamen ornamen pahatan orang jaman dulu.Siapa tak kenal Borobudur, candi megah dengan struktur piramid berundak yang tersusun dari batuan andesit dengan luas 123 X 123 meter dan terletak di Magelang, Jawa Tengah dengan arsitek bernama Gunadharma.""Mungkin banyak yang menyangka kalau Borobudur adalah bagian dari Daerah Istimewa Yogyakarta. Akupun awalnya sama menyangka demikian. Tapi setelah bertanya kepada petugas ternyata anggapan ini salah,"".Siang semakin terik, sekitar pukul 08.00 WIB kubeli tiket masuk dengan harga sekitar Rp 40.000, ini harga untuk wisatawan domestik, kalau untuk mancanegara bisa dikenakan US $ 20.""Antrian dari pagi hingga siang terus tak putus, hari ini Rabu (14/12) banyak sekali Siswa sekolah yang mengunjungi Borobudur, mungkin mereka sedang study tour,"".Dengan jarak yang cukup jauh dari pintu masuk hingga kawasan candi tentu sangat menguras tenaga, kalaupun capek di area candi juga terdapat kendaraan yang disewakan.""Lelah memang terasa, setelah nanjak di Punthuk Setumbu kini harus berjalan dan nanjak lagi keatas Candi,"".Rasa takjub saat menaiki tangga perlahan mengobati lelah. Ornamen ukiran batu disekeliling candi membuatku bertanya. Manusia seperti apa dan teknologi seperti apa yang diterapkan untuk membuat candi ini.Menurut petugas penjaga candi, sebelum ditemukan oleh Sir Thomas  Stamford Raffles pada tahun 1814 Saat menjabat sebagai Gubernur Inggris terhadap Jawa.""Dulu Borobudur sudah ditinggalkan oleh masyarakat Budha, mungkin karena alasan penyebaran agama Islam yang terus merambah disekitar Borobudur,"".Setelah puas melihat pemandangan disekitar candi, relief relief pahatan, stupa yang berisi patung budha lantas aku turun dan mampir ke kedai yang ada disekitar kawasan untuk menikmati es dawet. ""Panas terik, Capek setelah jalan jauh rasanya sedikit terobati setelah minum dawet sambil menikmati gajah gajah yang sedang bercengkrama,"".Siang sudah semakin nyata. Tak terasa sekitat 6 jam sudah kukelilingi candi Borobudur mulai dari bukit hingga melihat lebih dekat.""Waktu menunjukan pukul 12.00 WIB, aku harus bergegas pulang ke Yogyakarta karena masa sewa sepeda motor akan segera berakhir,"".";Ditulis pada 25 Desember 2018
Kenjava Tour & Travel;Candi Borobudur merupakan satu-satunya candi budha terbesar di dunia sampai saat ini. Meskipun sekarang sudah tidak lagi menyandang sebagai tujuh keajaiban dunia, namun Candi yang satu ini tetap menjadi nomor satu di kalangan para wisatawan domestik maupun mancanegara untuk dikunjungi.;Ditulis pada 20 Desember 2018
maimazlan710;Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.Cuaca hujan renyai-renyai dan sekejpa lebt mengiringi langkah kami pagi itu.. Ramai juga pemduduk tempat yang menjual payung tapi kami bertegas tidak mahu memebeli kerana susah nak membawanya... Kebetulan pelajar2 dari sekolah tempatan juga sedang membuat lawatan.. Sungguh meriah jadinya.. Kawasannya sangat luas.. Perlukan semangat yang tinggi untuk mendaki hingg ake puncak... Lelah juga la..;Ditulis pada 17 Desember 2018
Racheltrans;Hallo gas,pgi ini tur borobudur ges,diman borobudur adlah 7keajaiban dunia,mau tur hubungi 081391355210;Ditulis pada 2 Desember 2018
Santosa;Amazing view from the top, great sunrise, excellent temple ,, candi yang terbesar di dunia sangat menakjubkan dan mempesona;Ditulis pada 19 November 2018
rent car & tour jogja;Menakjubkan dan mempersona bagi pengunjung yg ingin menikmati candi Borobudur yang mana ini candi Buddha terbesar didunia;Ditulis pada 16 November 2018
;;
Muhammad S;Megah candinya..tp sayang keluarnya harus jalan kaki jauh..harga masuk dewasa wisatawan domestik Nov 2018 Rp. 40.000;Ditulis pada 16 November 2018
Terbit Riansyah;Sudah dua kali ke tempat ini selalu membuat takjub, sebuah peninggalan bersejarah keajaiban Dunia yang ada di Indonesia. Candi Borobudur adalah kebanggaan Indonesia yang penting untuk terus dilestarikan !;Ditulis pada 14 November 2018
rekshajati;Yang main ke jogja yang dari luar kota, jangan sam[pai gak mampir berkunjung ke Candi Borobudur, Candi yang menjadi salah satu objek keajaiban dunia, menjadi pilihan wisata yang pas ,, bawa payung dan kacamata item yaaa karna panas nya luar biasa;Ditulis pada 13 November 2018
Alda Dwi P;destinasi utama kalau ke jogja, candi yang megah dan terawat,, walaupun capek karena harus berjalan jauh tapi langsung terbayar kalau sudah sampai di puncak candi..;Ditulis pada 11 November 2018
trihadmanto;Beberapa kali sudah mengunjungi Candi ini, tetap saja kekaguman saya tidak daapt saya sembunyikan, Bangunan candi yang kokoh, meski beberapa patung sudah kehilangan kepala atau tangan atau bagian tubuh yang lain, namun tidak mengurangi kekaguman saya terhadap nenek moyang yang dengan peralatan seadanya mampu membuat candi semegah ini.;Ditulis pada 5 November 2018
Rico Mikhael;Unik, legend dan besar banget. Warisan sejarah dan budaya yg msh terawat baik dan perlu dijaga dan lindungi. Jgn pergi di saat musim kemarau atau diatas jam10an krn sangat panas dan biasakan bawa topi dan kacamata agar tdk kepanasan.;Ditulis pada 30 Oktober 2018
heri h;Wisata edukasi bernilai buaya tradisional yang sayang untuk dilewatkan.Merupakan destinasi Favorit wisatawan domestik dan mancanegara.;Ditulis pada 28 Oktober 2018
Hada NR;Yap.. dengan HTM Rp. 40.000,- untuk turis domestik adalah harga yang pas untuk dapat melihat kemegahan Borobudurketika dilokasi jangan kaget karena akan penuh sesak dan banyak orang berselfie ria, bagi kita yang lebih suka menikmati kemegahan bangunan mungkin akan sedikit terkalahkan oleh orang selfie yang seakan2 menguasai tempat. Tapi itulah wisata pasti rame dan penuh tapi enjoy aja..salam.. jalan jalan;Ditulis pada 27 Oktober 2018
Devi M;Wisata keluarga yang menyenangkan sekalian melihat peninggalan sejarah , Indonesia wonderfull , ayo ke Indonesia dan ke candi Borobudur asek se kali tempatnya . Good Indonesia;Ditulis pada 26 Oktober 2018
Sugiarni A;good place,  tempatx bersih toilet jg bersih, souvenirnya lebih murah,  pokokx tdk rugi kemari,  krn sangat menyenangkan n bersih;Ditulis pada 23 Oktober 2018
;;
Muhammad S;Megah candinya..tp sayang keluarnya harus jalan kaki jauh..harga masuk dewasa wisatawan domestik Nov 2018 Rp. 40.000;Ditulis pada 16 November 2018
Terbit Riansyah;Sudah dua kali ke tempat ini selalu membuat takjub, sebuah peninggalan bersejarah keajaiban Dunia yang ada di Indonesia. Candi Borobudur adalah kebanggaan Indonesia yang penting untuk terus dilestarikan !;Ditulis pada 14 November 2018
wisatanusantara99;Mahakarya indah,dengan nuansa pedesaan yang sejuk dan damai,mempesona dan sangat menarik untuk di kunjungi.;Ditulis pada 24 September 2018
AbangAmor;Sudah 2 kali kesini, panas si, tapi bikin kangen. Pengen balik lagi kesini, banyak situs budaya sejarah disini,;Ditulis pada 20 September 2018
dsimplethink;berkunjung kesini pas weekend emang crowded banget sulit mau foto susah terlalu banyak orang, tapi overall senang banget bisa wisata kesini, pemandangan dari atas candi sungguh indah, bisa foto di stupa nya juga.;Ditulis pada 20 September 2018
Jenar Aribowo;Mengunjungi Candi Borobudur memberi kebanggaan tersendiri, karena candi ini sudah terkenal di seluruh dunia dan menjadi icon Indonesia. Meski tiket masuknya terhitung mahal, tapi sangat beralasan sebab pengelolaannya juga baik. Tak bosan saya kesini karena festival sering diadakan silih berganti.;Ditulis pada 11 September 2018
tegar a;Borobudur merupakan candi Budha dan dikenal sebagai candi terbesar di Indonesia, bahkan seluruh dunia. Candi Budha terbesar ini berada di kota Magelang, Provinsi Jawa Tengah,Indonesia. Kabarnya, candi yang mempunyai bentuk stupa ini sudah didirikan pada tahun 800sm.Setiap harinya ada banyak wisatawan yang berdatangan untuk berwisata dengan datang ke Borobudur. Orang-orang yang datang ke candi Borobudur tak hanya ingin menikmati dan menyaksikan salah satu bangunan megah ini, melainkan mereka juga ingin mengetahui kisah-kisah sejarah hingga mitos yang menyelimuti candi Budha terbesar di dunia.Bagi yang merasa kebingungan untuk menghabiskan waktu liburan, sebaiknya datanglah ke Candi Borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan-jalan sembari mengetahui sejarah peradaban agama Budha di Indonesia.;Ditulis pada 3 September 2018
Ratnayw;Sudah beberpa kali kesini dan teratur kesini tempatnya semakin rapih dan bersih. Anak-anak juga senang.;Ditulis pada 2 September 2018
Ruth H;udah ke3 kalinya kesini, namun kali ini bersama big family, keindahaannya tetap sama, tapi sdg ada sedikit renov di atas.;Ditulis pada 30 Agustus 2018
Astrid A;Sekarnag sudah makin nyaman ke Borobudur. Walaupun tetap panaasss!! Sudah ada shuttle transport untuk antar ke dekat candi.;Ditulis pada 23 Agustus 2018
Andri K;Candi borobudur ini termasuk dalam keajaiban dunia yg merupakan peninggalan sejarah. Meski banyak yg rusak di beberapa bagian, pemugaran tetap terus berlangsung.Area candi ini sangat terawat dan baik. Namun banyak nya pedagang asongan dan peminta minta dapat membuat liburan anda terasa kurang nyaman.Saat anda di area parkiran, akan banyak pedagang, dan para penyewa panyung menawarkan jasa dgn embel embel bahwa di dalam area setelah masuk dari gerbang utama tidak ada lagi sewa payung dan asongan. Tapi itu bohong.Harga sewa payung di parkiran sebesar Rp. 10.000 namun di dalam anda bisa dapatkan seharga Rp. 5.000.Di dekat arah menuju keluar terdapat mobil vw safari yg bisa anda gunakan dengan membayar Rp. 150.000 anda akan dibawa kearea parkir dengan melewati kampung wisata dan dapat mampir di beberapa tempat salah satunya peternakan lebah madu.;Ditulis pada 19 Agustus 2018
Michael S;Saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih dan tidak ada yang berjualan di sekitar candi borobudur dan juga fasilitas yang sangat bagus bagi saya begitu juga orang di sana sangat ramah.;Ditulis pada 18 Agustus 2018
;;
Rehulina T Oktaviani Tarigan;Baiknya berkunjung ke borobudur tidak pada saat libur panjang,  karena pengunjung akan sangat padat,  seperti kunjunganku (look my photo) c padatnya borobudur luar biasa dan buat kalian yang menggunakan celana atau rok selulut diwajibkan menggunakan kain yang disediakan, tetap jaga keindahan borobudur dan patuhi peraturan yang ada ya guys,;Ditulis pada 9 Agustus 2018
Rebecca S;Tempatnya bagus banget dan bersih. Pertama kali seumur hidup ke tempat ini berkesan banget. Ternyata Indonesia juga sangat indah.;Ditulis pada 8 Agustus 2018
Tri.W;Candi Borobudur sangat masyur dan indah sekali, Suasana yang asri dan penuh kenyamanan dapat kita temukan di Candi ini.;Ditulis pada 7 Agustus 2018
Jogjatransportation;Borobudur, Candi Budha yang terletak didaerah Magelang, Jawa Tengah ini, bukan hanya menawarkan kemegahan candinya saja, tetapi juga menjadi salahsatu spot wisata yang cantik untuk berburu sunrise;Ditulis pada 1 Agustus 2018
wahyuhadi;Salah satu lokasi yang terkenal di jawa tengah dengan pemandangan dan situasi alam yang mengagumkan sekali;Ditulis pada 1 Agustus 2018
Dwi Y;Cuaca di borobudur cukup terik, siapkan krim tabir surya, dan juga air minum yang cukup, dalam kondisi ramai, hati-hati dalam menapaki tangga, bersabar lah...itu akan lebih baik;Ditulis pada 26 Juli 2018
shandisk;Candi Borobudur ditetapkan sebagai situs Warisan Dunia oleh UNESCO tahun 1991, arti nama Borobudur sendiri masih menjadi perdebatan para sejarawanJika ditarik garis lurus maka candi Borobudur, candi Pawon dan candi Mendut letaknya sejajar, ketiga candi tersebut juga bercorak Buddha Mahayana Seorang ilmuwan yakin candi Borobudur dibangun di tengah danau purba menyerupai teratai yang tumbuh di permukaan air;Ditulis pada 25 Juli 2018
